,action,instance_id,step,type,strtype
376,7,4041,7,['24'],['24']
377,8,4041,8,['26'],['26']
378,8,4042,0,"['26', '24']","['26', '24']"
379,7,4042,1,['24'],['24']
380,5,4042,2,"['24', '24']","['24', '24']"
381,2,4042,3,['16'],['16']
382,6,4042,4,['14'],['14']
383,4,4042,5,"['24', '24']","['24', '24']"
384,6,4042,6,"['14', '14']","['14', '14']"
385,8,4042,7,['26'],['26']
386,1,4042,8,"['14', '16']","['14', '16']"
387,5,4043,0,"['24', '24']","['24', '24']"
388,4,4043,1,"['24', '24']","['24', '24']"
389,2,4043,2,['26'],['26']
390,6,4043,3,"['14', '14']","['14', '14']"
391,1,4043,4,"['14', '16']","['14', '16']"
392,7,4043,5,['24'],['24']
393,6,4043,6,['14'],['14']
394,8,4043,7,"['26', '24']","['26', '24']"
395,3,4043,8,['16'],['16']
396,1,4044,0,"['16', '14']","['16', '14']"
397,6,4044,1,['14'],['14']
398,2,4044,2,['26'],['26']
399,4,4044,3,"['14', '14']","['14', '14']"
400,8,4044,4,"['26', '24']","['26', '24']"
401,5,4044,5,"['24', '24']","['24', '24']"
402,7,4044,6,"['24', '24']","['24', '24']"
403,7,4044,7,['24'],['24']
404,3,4044,8,['16'],['16']
405,3,4045,0,['16'],['16']
406,6,4045,1,['14'],['14']
407,2,4045,2,['26'],['26']
408,6,4045,3,"['14', '14']","['14', '14']"
409,4,4045,4,"['24', '24']","['24', '24']"
410,8,4045,5,"['26', '24']","['26', '24']"
411,1,4045,6,"['16', '14']","['16', '14']"
412,5,4045,7,"['24', '24']","['24', '24']"
413,7,4045,8,['24'],['24']
414,6,4046,0,"['14', '14']","['14', '14']"
415,1,4046,1,"['14', '16']","['14', '16']"
416,6,4046,2,['14'],['14']
417,3,4046,3,['16'],['16']
418,8,4046,4,"['24', '26']","['24', '26']"
419,4,4046,5,"['24', '24']","['24', '24']"
420,5,4046,6,"['24', '24']","['24', '24']"
421,2,4046,7,['26'],['26']
422,7,4046,8,['24'],['24']
423,5,4047,0,"['24', '24']","['24', '24']"
424,6,4047,1,['14'],['14']
425,1,4047,2,"['16', '14']","['16', '14']"
426,6,4047,3,"['14', '14']","['14', '14']"
427,3,4047,4,['16'],['16']
428,8,4047,5,"['24', '26']","['24', '26']"
429,8,4047,6,['26'],['26']
430,4,4047,7,['24'],['24']
431,7,4047,8,"['24', '24']","['24', '24']"
432,5,4048,0,"['24', '24']","['24', '24']"
433,3,4048,1,['16'],['16']
434,8,4048,2,"['26', '24']","['26', '24']"
435,6,4048,3,['14'],['14']
436,4,4048,4,"['24', '24']","['24', '24']"
437,8,4048,5,['26'],['26']
438,1,4048,6,"['14', '16']","['14', '16']"
439,7,4048,7,['24'],['24']
440,6,4048,8,"['14', '14']","['14', '14']"
441,5,4049,0,"['24', '24']","['24', '24']"
442,8,4049,1,"['24', '26']","['24', '26']"
443,2,4049,2,['16'],['16']
444,7,4049,3,['24'],['24']
445,4,4049,4,"['24', '24']","['24', '24']"
446,6,4049,5,['14'],['14']
447,1,4049,6,"['16', '14']","['16', '14']"
448,6,4049,7,"['14', '14']","['14', '14']"
449,8,4049,8,['26'],['26']
450,5,4050,0,"['24', '24']","['24', '24']"
451,7,4050,1,"['24', '24']","['24', '24']"
452,1,4050,2,"['14', '16']","['14', '16']"
453,8,4050,3,['26'],['26']
454,4,4050,4,['24'],['24']
455,3,4050,5,['16'],['16']
456,8,4050,6,"['26', '24']","['26', '24']"
457,6,4050,7,"['14', '14']","['14', '14']"
458,6,4050,8,['14'],['14']
459,5,4051,0,"['24', '24']","['24', '24']"
460,2,4051,1,['26'],['26']
461,8,4051,2,"['26', '24']","['26', '24']"
462,4,4051,3,"['14', '14']","['14', '14']"
463,1,4051,4,"['14', '16']","['14', '16']"
464,7,4051,5,"['24', '24']","['24', '24']"
465,7,4051,6,['24'],['24']
466,6,4051,7,['14'],['14']
467,3,4051,8,['16'],['16']
468,2,4052,0,['16'],['16']
469,5,4052,1,"['24', '24']","['24', '24']"
470,1,4052,2,"['16', '14']","['16', '14']"
471,6,4052,3,['14'],['14']
472,8,4052,4,"['26', '24']","['26', '24']"
473,8,4052,5,['26'],['26']
474,4,4052,6,"['24', '24']","['24', '24']"
475,7,4052,7,['24'],['24']
476,6,4052,8,"['14', '14']","['14', '14']"
477,1,4053,0,"['14', '16']","['14', '16']"
478,3,4053,1,['16'],['16']
479,6,4053,2,"['14', '14']","['14', '14']"
480,4,4053,3,"['24', '24']","['24', '24']"
481,6,4053,4,['24'],['24']
482,5,4053,5,"['24', '24']","['24', '24']"
483,8,4053,6,"['24', '26']","['24', '26']"
484,7,4053,7,['14'],['14']
485,8,4053,8,['26'],['26']
486,6,4054,0,"['14', '14']","['14', '14']"
487,8,4054,1,"['26', '24']","['26', '24']"
488,4,4054,2,"['24', '24']","['24', '24']"
489,5,4054,3,"['24', '24']","['24', '24']"
490,2,4054,4,['26'],['26']
491,7,4054,5,['24'],['24']
492,3,4054,6,['16'],['16']
493,1,4054,7,"['16', '14']","['16', '14']"
494,6,4054,8,['14'],['14']
495,5,4055,0,"['24', '24']","['24', '24']"
496,2,4055,1,['26'],['26']
497,3,4055,2,['16'],['16']
498,1,4055,3,"['16', '14']","['16', '14']"
499,6,4055,4,['14'],['14']
500,4,4055,5,"['14', '14']","['14', '14']"
501,7,4055,6,['24'],['24']
502,7,4055,7,"['24', '24']","['24', '24']"
503,8,4055,8,"['24', '26']","['24', '26']"
504,6,4056,0,"['14', '14']","['14', '14']"
505,8,4056,1,"['24', '26']","['24', '26']"
506,2,4056,2,['26'],['26']
507,6,4056,3,['14'],['14']
508,7,4056,4,['24'],['24']
509,1,4056,5,"['16', '14']","['16', '14']"
510,4,4056,6,"['24', '24']","['24', '24']"
511,5,4056,7,"['24', '24']","['24', '24']"
512,3,4056,8,['16'],['16']
513,8,4057,0,['26'],['26']
514,3,4057,1,['16'],['16']
515,8,4057,2,"['26', '24']","['26', '24']"
516,6,4057,3,"['14', '14']","['14', '14']"
517,1,4057,4,"['14', '16']","['14', '16']"
518,7,4057,5,['24'],['24']
519,4,4057,6,"['24', '24']","['24', '24']"
520,6,4057,7,['14'],['14']
521,5,4057,8,"['24', '24']","['24', '24']"
522,6,4058,0,"['14', '14']","['14', '14']"
523,7,4058,1,['24'],['24']
524,5,4058,2,"['24', '24']","['24', '24']"
525,3,4058,3,['16'],['16']
526,8,4058,4,"['24', '26']","['24', '26']"
527,2,4058,5,['26'],['26']
528,4,4058,6,['14'],['14']
529,7,4058,7,"['24', '24']","['24', '24']"
530,1,4058,8,"['16', '14']","['16', '14']"
531,6,4059,0,"['14', '14']","['14', '14']"
532,8,4059,1,"['24', '26']","['24', '26']"
533,6,4059,2,['14'],['14']
